<<<<<<< HEAD
,날짜,철광석_가격,미국_수입량,알루미늄,전기동,연,아연,주석,니켈,BHP_close,RIO_close,VALE_close,PDS.원자재.지수,USD.CNY..미국.달러...중국.인민폐.,USD.BRL..미국.달러...브라질.레알.,AUD.USD..호주.달러...미국.달러.,inventory.index,WTI [CME(NYMEX)] 2018.08USD/bbl(barrel),브렌트유 [ICE] 2018.09USD/bbl(barrel),철근 [SHFE] 2018.10RMB/ton,철근 [SHFE] 2018.10RMB/ton,선재 [SHFE] 2018.10RMB/ton
12,2015-03-23,55,638727.6,345,1230,353,391,3326,2591.4,47.1,41.88,5.67,99.44,6.21,3.18,0.78,100.13,48.89,56.62,2510.4,2510.4,2732.6
13,2015-03-30,50.16,621385.6,335.4,1274.8,349,376.2,3159.8,2433.6,45.56,41.2,5.76,100.86,6.19,3.17,0.76,97.24,48.93,55.86,2408,2408,2586.6
14,2015-04-06,47.81,833085.1,437.75,1468.625,419.375,485,4549.625,3556.875,45.82,41.45,6.04,100.93,6.2,3.09,0.77,97.37,51.79,57.44,2303.5,2303.5,2536.5
15,2015-04-13,50.13,807088.9,448.75,1494.375,473.125,529.5,4180.875,3316.125,46.44,42.02,5.87,102.63,6.21,3.06,0.77,97.58,55.12,61.42,2311.8,2311.8,2474.2
16,2015-04-20,53.86,781092.6,459.75,1520.125,526.875,574,3812.125,3075.375,51.04,45.72,7.92,106.4,6.19,3,0.78,97.16,57.11,63.68,2314.4,2314.4,2502.4
17,2015-04-27,58.07,755096.4,470.75,1545.875,580.625,618.5,3443.375,2834.625,51.92,45.87,8.07,108.56,6.21,2.97,0.79,95.07,58.28,65.71,2382,2382,2479
18,2015-05-04,59.78,805780.9,455.75,1473.25,499.5,541.375,4016.375,3105,50.8,46.11,7.63,110.14,6.21,3.04,0.79,89.91,59.72,66.53,2414,2414,2479
19,2015-05-11,62.42,782400.6,452.75,1541.25,500.5,562.125,3976.625,3286.5,51.55,46.13,7.12,110.29,6.21,3.02,0.8,86.56,60.01,66.42,2387.4,2387.4,2479
20,2015-05-18,58.83,759020.4,449.75,1609.25,501.5,582.875,3936.875,3468,45.87,44.88,6.57,110.02,6.2,3.04,0.79,84.92,59.37,65.45,2340.2,2340.2,2309
21,2015-05-25,62.25,735640.1,446.75,1677.25,502.5,603.625,3897.125,3649.5,44.63,43.77,6.3,107.68,6.2,3.15,0.77,83.31,58.38,63.48,2353.4,2353.4,2309
22,2015-06-01,63.89,670599.6,385.2,1353.6,434.4,498.4,3327.8,2847.6,42.91,43.63,6.51,106.16,6.2,3.15,0.77,82.73,59.65,63.9,2357.2,2357.2,2309
23,2015-06-08,64.95,616568.4,361,1260.2,400.8,458,3165.4,2701.8,43.3,44.04,6.81,105.89,6.21,3.11,0.77,80.74,60.09,64.45,2337.4,2337.4,2309
24,2015-06-15,62.36,562537.2,336.8,1166.8,367.2,417.6,3003,2556,43.81,43.16,6.51,106.99,6.21,3.09,0.78,79.62,59.89,63.76,2255.8,2255.8,2551.4
25,2015-06-22,61.62,508506,312.6,1073.4,333.6,377.2,2840.6,2410.2,42.69,42.84,6.23,106.15,6.21,3.1,0.77,78.71,60.2,63.55,2230.25,2230.25,2612
26,2015-06-29,58.15,454474.8,288.4,980,300,336.8,2678.2,2264.4,41.29,41.04,5.85,105.47,6.21,3.12,0.76,81.77,57.92,62.42,2143,2143,2581.6
27,2015-07-06,49.11,682176,426.75,1505.625,468.25,532.75,3760.375,3369.25,39.47,39.14,5.43,102.39,6.21,3.19,0.75,82.01,52.41,57.56,2000.6,2000.6,2464.6
28,2015-07-13,50.39,724167,415.25,1411.375,449.75,511.25,3747.125,3020.75,39.56,40.35,5.46,100.45,6.21,3.15,0.74,81.15,51.69,57.49,2011.2,2011.2,2417
29,2015-07-20,51.88,766158,403.75,1317.125,431.25,489.75,3733.875,2672.25,36.3,37.39,5.05,98.67,6.21,3.25,0.74,81.75,49.26,55.94,2066.4,2066.4,2417
30,2015-07-27,54.15,808149,392.25,1222.875,412.75,468.25,3720.625,2323.75,38.37,38.62,5.26,96.28,6.21,3.37,0.73,80.68,47.96,53.13,2087.4,2087.4,2356.6
31,2015-08-03,56.03,636811.8,347.2,1165,366.2,438.8,2939,2486,38.64,39.8,5.28,93.42,6.21,3.49,0.74,81.56,44.92,49.45,2083.8,2083.8,2350
32,2015-08-10,56.57,596130,327.6,1091.4,352.4,400.4,2992.4,2277.2,37.88,38.59,5.23,92.07,6.34,3.48,0.74,81.67,43.21,49.5,2069.2,2069.2,2350
33,2015-08-17,56.39,555448.2,308,1017.8,338.6,362,3045.8,2068.4,34.68,35.99,4.75,90.63,6.39,3.48,0.73,81.04,41.38,47.36,2046.8,2046.8,2350
34,2015-08-24,54.07,514766.4,288.4,944.2,324.8,323.6,3099.2,1859.6,36.69,36.6,4.83,86.2,6.4,3.58,0.71,80.59,40.79,45.33,1960.4,1960.4,2350
35,2015-08-31,56.5,474084.6,268.8,870.6,311,285.2,3152.6,1650.8,33.75,34.23,4.73,88.69,6.36,3.73,0.7,79.94,46.73,50.9,1958.33,1958.33,2350
36,2015-09-07,57.87,720067.5,378.875,1257.375,424.625,463.875,3775.75,2641,34.07,37.21,4.98,88.97,6.37,3.83,0.7,81.25,45.16,48.35,1945.2,1945.2,2350
37,2015-09-14,57.53,668553,391.125,1287.125,421.875,441.125,3838.75,2530,34.6,35.52,4.98,88.68,6.37,3.87,0.72,82.9,45.46,47.86,1929,1929,2375.8
38,2015-09-21,56.45,617038.5,403.375,1316.875,419.125,418.375,3901.75,2419,31.87,33.6,4.52,88.07,6.38,4.02,0.7,85.52,45.52,48.5,1897.4,1897.4,2379.6
39,2015-09-28,55.68,565524,415.625,1346.625,416.375,395.625,3964.75,2308,33.06,34.78,4.48,87.59,6.36,4.01,0.7,83.225,45.01,47.95,1845.33,1845.33,2277.67
40,2015-10-05,54.28,619383.2,405.375,1300.125,415.125,428.625,3824.375,2418.75,37.76,39.74,5.48,88.49,6.35,3.84,0.72,80.93,48.33,51.64,1838.5,1838.5,2098
41,2015-10-12,54.84,666208.2,389.125,1303.875,425.875,430.875,3916.125,2530.25,36.06,38.36,4.79,90.61,6.34,3.84,0.73,84.27,46.81,49.48,1836.2,1836.2,2098
42,2015-10-19,52.56,713033.2,372.875,1307.625,436.625,433.125,4007.875,2641.75,35.75,38.29,4.73,88.46,6.35,3.91,0.72,83.87,45.32,48.25,1805.8,1805.8,2098
43,2015-10-26,50.39,759858.2,356.625,1311.375,447.375,435.375,4099.625,2753.25,32.89,36.51,4.36,87.02,6.35,3.88,0.72,84.45,45.15,48.35,1795.8,1795.8,2082
44,2015-11-02,48.94,658220,316.4,1127.6,366.8,374.8,3390.6,2291.2,30.75,34.72,4.14,87.23,6.34,3.8,0.71,87.11,45.97,48.66,1782,1782,2088
45,2015-11-09,48.19,551696.6,304.8,1044.6,345,345.6,3169.6,2068.8,28.41,34.24,3.97,85.71,6.36,3.79,0.71,87.13,42.7,45.62,1782,1782,2088
46,2015-11-16,46,445173.2,293.2,961.6,323.2,316.4,2948.6,1846.4,29.1,34.68,3.8,83.42,6.38,3.78,0.71,86.58,40.82,44.22,1732.2,1732.2,2114.4
47,2015-11-23,44.24,338649.8,281.6,878.6,301.4,287.2,2727.6,1624,26.98,33.11,3.57,83.51,6.39,3.75,0.72,89.17,42.34,45.49,1673.6,1673.6,2121
48,2015-11-30,41.42,232126.4,270,795.6,279.6,258,2506.6,1401.6,26.48,31.75,3.28,83.04,6.4,3.82,0.73,91.49,40.9,43.68,1643.2,1643.2,2124
49,2015-12-07,38.72,569055,363,1224.375,393.375,403,3690.875,2375.5,23.81,28.53,3.15,81.08,6.43,3.8,0.72,92.09,36.94,39.75,1655.4,1655.4,2124
50,2015-12-14,39.43,543878,370,1179.625,414.625,388,3680.625,2240.5,23.93,27.38,3.2,78.25,6.48,3.91,0.72,94.29,35.77,37.54,1674.2,1674.2,2124
51,2015-12-21,40.77,518701,377,1134.875,435.875,373,3670.375,2105.5,26.14,29.72,3.3,77.37,6.47,3.97,0.72,97.43,36.62,36.93,1730,1730,2124
52,2015-12-28,42.65,493524,384,1090.125,457.125,358,3660.125,1970.5,25.76,29.12,3.29,78.43,6.49,3.91,0.73,96.08,37.08,37.04,1768.5,1768.5,2124
53,2016-01-04,43.03,496630.9,375.375,1178,432,381.75,3791.125,2199.125,21.96,25.07,2.6,77.45,6.54,4.03,0.71,99.06,34.63,35.03,1777.6,1777.6,2124
54,2016-01-11,40.67,565948.1,371.625,1136.5,418.5,379.25,3559.875,2146.875,20.19,23.62,2.37,74.12,6.58,4.03,0.7,100.63,30.59,30.95,1754.8,1754.8,2124
55,2016-01-18,42.11,635265.4,367.875,1095,405,376.75,3328.625,2094.625,21.48,23.77,2.27,70.23,6.57,4.09,0.69,100.05,29.18,29.32,1820.4,1820.4,1911
56,2016-01-25,41.74,704582.6,364.125,1053.5,391.5,374.25,3097.375,2042.375,21.91,24.65,2.45,71.84,6.54,4.07,0.7,98.41,32.19,32.81,1839,1839,1911
57,2016-02-01,44.55,547974.6,284.4,866.2,304.4,262.6,2380,1731.2,22.58,26.21,2.61,74.03,6.57,3.93,0.71,96.57,31.28,34.1,1829.2,1829.2,1911
58,2016-02-08,45.73,480485.4,295.8,892.6,329.4,302.4,2755.4,1696.6,22.72,26.52,2.63,72.76,6.56,3.94,0.71,97.35,30.655,33.785,1848.3,1848.3,1911
59,2016-02-15,47.01,412996.2,307.2,919,354.4,342.2,3130.8,1662,23.98,27.37,2.94,72.91,6.52,4.02,0.71,98.13,30.03,33.47,1867.4,1867.4,1911
60,2016-02-22,50.56,345507,318.6,945.4,379.4,382,3506.2,1627.4,22.56,25.52,2.71,73.34,6.52,3.96,0.72,98.19,32.27,34.55,1931.6,1931.6,1911
61,2016-02-29,51.7,278017.8,330,971.8,404.4,421.8,3881.6,1592.8,27.68,30.32,4.38,75.71,6.54,3.88,0.73,97.86,34.66,37.22,1975,1975,1911
62,2016-03-07,60.08,479446.4,384.625,1104.625,438.5,416,3745.75,2028.25,27.22,29.11,3.83,79.18,6.51,3.69,0.75,96.95,37.81,40.4,2095.2,2095.2,1911
63,2016-03-14,55.12,553044.1,383.375,1192.875,447.5,439.5,4081.25,2126.75,27.42,29.13,4.17,80.97,6.49,3.68,0.76,97.5,38.32,40.27,2033.2,2033.2,1911
64,2016-03-21,57.86,626641.9,382.125,1281.125,456.5,463,4416.75,2225.25,25.64,27.71,4.04,82.4,6.5,3.65,0.76,96.31,40.15,41.06,2157.6,2157.6,1911
65,2016-03-28,54.72,700239.6,380.875,1369.375,465.5,486.5,4752.25,2323.75,25.65,28.17,4.32,81.87,6.48,3.61,0.76,99.43,38.22,39.39,2147.8,2147.8,1911
66,2016-04-04,54.57,603130.9,378.625,1249.125,461.875,445.375,4240,2176,24.77,27.99,4.48,81.92,6.47,3.65,0.76,100.72,37.26,39.35,2185,2185,1911
67,2016-04-11,58.8,576555.1,386.875,1224.875,442.125,457.125,4258,2176,28.91,31.67,5.29,83.92,6.47,3.5,0.77,99.14,41.23,43.73,2321.8,2321.8,1911
68,2016-04-18,64.95,549979.4,395.125,1200.625,422.375,468.875,4276,2176,31.82,33.56,5.42,85.52,6.48,3.55,0.78,99.39,42.08,44.48,2544,2544,1911
69,2016-04-25,63.82,523403.6,403.375,1176.375,402.625,480.625,4294,2176,31.34,33.66,5.67,87.73,6.49,3.51,0.77,100.08,44.79,46.73,2568.8,2568.8,1911
70,2016-05-02,60.51,379349.2,314.4,998.8,348.8,366.6,3478,1743.8,27.93,30.9,4.78,88.81,6.49,3.53,0.75,100.67,44.24,45.16,2386.75,2386.75,1911
71,2016-05-09,55.08,450613.8,312.8,970.2,345.8,370.4,3413.6,1740.8,26.6,28.29,4.13,87.56,6.51,3.49,0.73,99.37,45.45,46.53,2139.6,2139.6,1911
72,2016-05-16,55.05,521878.4,311.2,941.6,342.8,374.2,3349.2,1737.8,26.84,28.31,3.98,89.4,6.53,3.54,0.73,101.78,48.03,48.94,2064.4,2064.4,2254.2
73,2016-05-23,50.72,593143,309.6,913,339.8,378,3284.8,1734.8,27.5,28.73,3.98,89.62,6.56,3.58,0.72,101.86,49.01,49.12,1958.4,1958.4,2340
74,2016-05-30,49.42,664407.6,308,884.4,336.8,381.8,3220.4,1731.8,27.81,28.34,4.61,89.73,6.58,3.58,0.73,100.17,48.98,49.77,1978.6,1978.6,2340
75,2016-06-06,52.27,658524.2,384.5,1186.625,428.5,448.75,4156.625,2144,26.73,27.94,4.41,91.29,6.57,3.42,0.74,100.7,50.18,51.4,2071,2071,2340
76,2016-06-13,51.18,646171.8,393.5,1167.375,428.5,486.75,4216.375,2200.5,27.71,29.19,4.46,90.98,6.59,3.46,0.74,100.57,47.91,49.1,2098.8,2098.8,2252.8
77,2016-06-20,51.34,633819.2,402.5,1148.125,428.5,524.75,4276.125,2257,27.23,28.76,4.55,90.36,6.59,3.38,0.75,102.68,49.02,50.09,2111.8,2111.8,2122
78,2016-06-27,54.28,621466.8,411.5,1128.875,428.5,562.75,4335.875,2313.5,28.62,31.57,5.16,90.74,6.65,3.28,0.74,104.61,48.28,49.28,2272.8,2272.8,2122
79,2016-07-04,55.66,589629.1,393.25,1129.625,413.375,485.5,4140.25,2061.625,29.34,31.59,4.95,91.02,6.68,3.32,0.75,106.57,46.15,48,2394.2,2394.2,2178
80,2016-07-11,58.22,690361.9,402.75,1185.875,443.625,526,4352.25,2395.875,30.5,32.86,5.36,89.42,6.69,3.27,0.76,108.4,45.59,47.19,2497.4,2497.4,2481.6
81,2016-07-18,56.33,791094.6,412.25,1242.125,473.875,566.5,4564.25,2730.125,28.55,31.35,5.31,89.03,6.69,3.26,0.75,108.84,44.75,46.54,2351.2,2351.2,2479.8
82,2016-07-25,58.73,891827.4,421.75,1298.375,504.125,607,4776.25,3064.375,29.69,32.82,5.75,87.15,6.66,3.27,0.75,108.64,42.14,43.64,2396.2,2396.2,2431
83,2016-08-01,61.22,630765.8,323.6,990.8,366.2,417.4,3450.6,2030,31.02,32.74,6.02,85.56,6.64,3.23,0.76,108.21,40.83,43.12,2485.4,2485.4,2431
84,2016-08-08,60.47,592582.6,326,971.2,367,437,3566.6,2050.4,30.97,31.08,5.64,86.82,6.64,3.16,0.77,107.54,43.1,45.49,2578.6,2578.6,2431
85,2016-08-15,60.96,554399.4,328.4,951.6,367.8,456.6,3682.6,2070.8,31.94,32.06,5.97,88.98,6.63,3.21,0.77,106.41,47.17,49.84,2589,2589,2431
86,2016-08-22,61.05,516216.2,330.8,932,368.6,476.2,3798.6,2091.2,32.09,31.54,5.45,90.45,6.66,3.23,0.76,105.4,47.38,49.55,2571.4,2571.4,2373.8
87,2016-08-29,59.13,478033,333.2,912.4,369.4,495.8,3914.6,2111.6,30.62,31.13,5.6,89.52,6.68,3.24,0.75,104.24,45.13,47.39,2433,2433,2145
88,2016-09-05,58.56,724754.6,417,1195.875,446.875,569.5,4458.5,2609.25,30.74,30.74,5.19,88.69,6.67,3.23,0.76,103.46,45.96,48.17,2380.2,2380.2,2145
89,2016-09-12,56,661243.9,404,1183.125,472.625,572,4748,2567.75,29.97,29.9,5.03,89.85,6.68,3.3,0.75,104.01,44.34,46.73,2279.67,2279.67,2145
90,2016-09-19,56.09,597733.1,391,1170.375,498.375,574.5,5037.5,2526.25,32.54,32.41,5.42,89.36,6.67,3.24,0.76,102.72,44.58,46.44,2269.4,2269.4,2145
91,2016-09-26,56.48,534222.4,378,1157.625,524.125,577,5327,2484.75,34.65,33.4,5.5,90.39,6.67,3.24,0.77,106.48,46.74,48.06,2289.4,2289.4,2143
92,2016-10-03,55.86,514908.2,303.2,936.4,368.8,454.4,3792,2022,35.36,33.16,5.57,92.11,6.67,3.23,0.76,104.61,48.68,50.165,2306.4,2306.4,2261.2
93,2016-10-10,57.09,503590.8,318,941.4,388.4,458.6,3914.2,2037.6,33.99,31.77,5.58,94.47,6.72,3.2,0.76,105.68,50.62,52.27,2323.4,2323.4,2379.4
94,2016-10-17,58.55,492273.4,332.8,946.4,408,462.8,4036.4,2053.2,34.96,32.87,6.26,94.38,6.74,3.17,0.77,106.86,50.62,51.81,2451.4,2451.4,2305
95,2016-10-24,62.26,480956,347.6,951.4,427.6,467,4158.6,2068.8,34.87,34.53,6.9,93.84,6.78,3.15,0.76,108.29,49.62,50.48,2527,2527,2305
96,2016-10-31,65.1,469638.6,362.4,956.4,447.2,471.2,4280.8,2084.4,33.98,33.93,6.67,93.12,6.76,3.24,0.77,111.19,45.52,47.05,2638,2638,2305
97,2016-11-07,72.13,604844.1,407.125,1094.125,492.625,546.625,4915.125,2456.875,37.5,39.08,7.69,91.97,6.79,3.28,0.77,109.09,44.64,45.83,2934,2934,2305
98,2016-11-14,73.84,625839.4,424.875,1271.875,527.375,610.375,5175.875,2676.125,35.48,36.55,7.24,93.3,6.85,3.43,0.75,111.35,45.16,46.27,2865.6,2865.6,2305
99,2016-11-21,75.53,646834.6,442.625,1449.625,562.125,674.125,5436.625,2895.375,38.74,39.35,8.42,94.49,6.91,3.4,0.74,110.73,47.39,48.55,2893.6,2893.6,2305
100,2016-11-28,77.27,667829.9,460.375,1627.375,596.875,737.875,5697.375,3114.625,38.02,39.02,8.44,96.25,6.89,3.46,0.74,112.12,48.9,50.7,3109.2,3109.2,2305
101,2016-12-05,80.81,648528.8,434.25,1332.875,538.25,629.375,5297.375,2802,38.48,41.15,8.78,100.36,6.89,3.39,0.75,112.43,50.97,54.02,3278,3278,2305
102,2016-12-12,81.83,624145.2,433.25,1388.625,551.25,655.125,5315.125,2769.5,36.4,38.76,8.17,101.39,6.92,3.36,0.74,112.99,51.93,54.91,3409,3409,2305
103,2016-12-19,78.86,599761.8,432.25,1444.375,564.25,680.875,5332.875,2737,35.41,38.12,7.71,101.33,6.95,3.32,0.72,111.65,52.56,54.99,3137.8,3137.8,2305
104,2016-12-26,79.85,575378.2,431.25,1500.125,577.25,706.625,5350.625,2704.5,35.78,38.46,7.62,102.72,6.95,3.27,0.72,114.39,53.86,56.32,2947,2947,2305
105,2017-01-02,77.59,468519,334.2,1119,445,526.2,4368.4,2408.4,36.96,38.39,7.99,103.02,6.93,3.24,0.73,117.32,53.34,56.48,2925.5,2925.5,2305
106,2017-01-09,79.82,489562.8,346.2,1133.2,446.2,534.4,4259.2,2202.6,39.84,42.04,9.58,104.21,6.92,3.2,0.74,118.99,52.08,55.03,3129.4,3129.4,2305
107,2017-01-16,81.73,510606.6,358.2,1147.4,447.4,542.6,4150,1996.8,39.93,42.93,10.03,105.26,6.87,3.21,0.75,119.51,51.84,54.98,3288.8,3288.8,2330
108,2017-01-23,82.6,531650.4,370.2,1161.6,448.6,550.8,4040.8,1791,41.24,45.35,10.67,105.98,6.87,3.16,0.76,123.855,53.13,55.5,3265.75,3265.75,2330
109,2017-01-30,83.05,552694.2,382.2,1175.8,449.8,559,3931.6,1585.2,39.39,42.67,9.73,106.86,6.88,3.13,0.76,123.855,53.34,56.22,3174,3174,2330
110,2017-02-06,83.58,648730.2,439.5,1408.625,548.625,661.375,5344.75,2416.5,40.09,45.41,10.46,107.25,6.87,3.12,0.76,128.2,52.88,55.64,3191,3191,2330
111,2017-02-13,91.08,627786.2,456,1459.875,569.875,695.125,5030.25,2575.5,40.28,45.5,10.97,106.95,6.87,3.09,0.77,129.31,53.2,55.75,3420.4,3420.4,2330
112,2017-02-20,92.67,606842.2,472.5,1511.125,591.125,728.875,4715.75,2734.5,37.97,41.69,10.52,106.01,6.87,3.08,0.77,130.81,54.02,56.27,3522.6,3522.6,2330
113,2017-02-27,91.71,585898.2,489,1562.375,612.375,762.625,4401.25,2893.5,39.06,41.79,10.18,105.54,6.88,3.11,0.76,131.66,53.57,55.77,3542,3542,2330
114,2017-03-06,88.05,538264.8,458.625,1500.5,586.125,720.25,4830.5,2703.75,35.64,39.39,9.47,104.2,6.91,3.15,0.75,131.29,50.88,53.72,3448.2,3448.2,2330
115,2017-03-13,90.46,696363.8,469.875,1470.5,574.875,703.75,4915.5,2606.25,38.18,43.03,10.13,100.99,6.91,3.13,0.76,131.82,48.5,51.52,3576.8,3576.8,2330
116,2017-03-20,87.1,854462.8,481.125,1440.5,563.625,687.25,5000.5,2508.75,36.51,40.84,9.3,101.11,6.89,3.1,0.77,133.63,48.17,50.92,3485.8,3485.8,2524
117,2017-03-27,81.6,1012562,492.375,1410.5,552.375,670.75,5085.5,2411.25,36.32,40.68,9.5,100.4,6.88,3.13,0.76,134.56,49.31,52.06,3167.6,3167.6,2988
118,2017-04-03,79.34,783124.2,471.875,1471,575,714.125,4938.125,2627.625,36.97,40.61,9.23,102.06,6.89,3.12,0.76,133.74,51.27,54.28,3164,3164,3046
119,2017-04-10,71.45,767702.2,479.125,1440,563.5,676.875,4977.875,2487.375,36.09,38.94,8.72,103.22,6.89,3.14,0.75,132.36,53.19,55.99,2965.2,2965.2,3046
120,2017-04-17,65.53,752280.2,486.375,1409,552,639.625,5017.625,2347.125,35.76,39.53,8.87,102.29,6.88,3.13,0.75,131.35,51.25,53.63,2880.2,2880.2,3046
121,2017-04-24,66.89,736858.2,493.625,1378,540.5,602.375,5057.375,2206.875,35.6,39.82,8.58,99.66,6.89,3.16,0.75,133.33,49.34,51.74,2971.2,2971.2,3046
122,2017-05-01,66.08,587002.8,389.6,1160.8,466,535.2,3950.2,2036.8,34.49,38.9,8.17,98.4,6.9,3.17,0.75,136.06,47.21,50.08,3048.5,3048.5,2979.5
123,2017-05-08,60.67,607993,386.2,1139.6,446.2,526.6,3998.2,1933.8,35.2,38.69,8.26,96.12,6.9,3.16,0.74,137.93,47.06,49.98,3014.8,3014.8,2953
124,2017-05-15,61.69,628983.2,382.8,1118.4,426.4,518,4046.2,1830.8,36.71,41.38,8.42,96.97,6.89,3.19,0.74,139.42,49.32,52.36,3067.2,3067.2,2953
125,2017-05-22,60.77,649973.4,379.4,1097.2,406.6,509.4,4094.2,1727.8,35.84,40.98,8.53,98.67,6.88,3.27,0.75,140.27,50.53,53.12,3273.8,3273.8,2953
126,2017-05-29,57.56,670963.6,376,1076,386.8,500.8,4142.2,1624.8,35.47,40.8,8.21,96.7,6.83,3.25,0.74,140.14,48.5,50.61,3110.67,3110.67,2953
127,2017-06-05,55.63,734467.9,481.875,1384.625,533.125,649.75,5123.875,2316.375,35.39,41.73,8.31,94.87,6.8,3.28,0.75,144.11,46.56,48.73,2971.8,2971.8,2953
128,2017-06-12,54.73,837990.1,475.125,1411.375,532.875,645.25,4991.625,2260.625,34.7,39.3,7.88,93.95,6.8,3.3,0.76,142.36,45.29,47.66,3043.2,3043.2,2953
129,2017-06-19,56.57,941512.4,468.375,1438.125,532.625,640.75,4859.375,2204.875,34.16,39.17,8.17,92.96,6.83,3.33,0.76,145.39,43.24,45.7,3093,3093,2953
130,2017-06-26,62.25,1045035,461.625,1464.875,532.375,636.25,4727.125,2149.125,35.59,42.31,8.75,93.04,6.8,3.3,0.76,144.13,44.67,47.28,3228.6,3228.6,2953
131,2017-07-03,63.11,791739,374,1083.8,399.2,471.8,3826.2,1676,37.22,43.5,8.77,95,6.8,3.3,0.76,142.29,45.49,48.38,3393.4,3393.4,2953
132,2017-07-10,65.03,711801,377.4,1139.8,426.2,514.4,3940.4,1786.2,39.4,45.17,9.25,94.34,6.79,3.22,0.77,142.87,45.51,47.89,3545.6,3545.6,2953
133,2017-07-17,68.22,631863,380.8,1195.8,453.2,557,4054.6,1896.4,38.79,44.14,9.02,95.92,6.76,3.15,0.79,143.2,46.49,48.86,3592.6,3592.6,3095.4
134,2017-07-24,69.34,551925,384.2,1251.8,480.2,599.6,4168.8,2006.6,41.14,46.61,9.67,97.32,6.75,3.15,0.8,142.31,48.35,50.7,3551.2,3551.2,3299
135,2017-07-31,73.42,471987,387.6,1307.8,507.2,642.2,4283,2116.8,41.21,46.83,9.97,99.13,6.72,3.12,0.8,140.37,49.51,52.26,3735.4,3735.4,3299
136,2017-08-07,75.88,802090,460.25,1432.375,555.125,671.625,5031.125,2199.125,40.35,44.61,9.69,100.25,6.68,3.16,0.79,138.34,49.11,52.24,3979.4,3979.4,3299
137,2017-08-14,74.94,777567.5,491.75,1557.125,577.875,720.875,5105.375,2541.875,40.4,44.64,10.03,100.27,6.68,3.17,0.79,136.35,47.5,51.11,3785.8,3785.8,3299
138,2017-08-21,78.59,753045,523.25,1681.875,600.625,770.125,5179.625,2884.625,42.56,47.69,10.68,101.63,6.66,3.16,0.79,134.73,47.74,52.11,3879.2,3879.2,3299
139,2017-08-28,77.13,728522.5,554.75,1806.625,623.375,819.375,5253.875,3227.375,44.16,49.53,11.3,102.72,6.59,3.16,0.79,134.19,46.7,51.89,3896.2,3896.2,3299
140,2017-09-04,76.61,797990.2,498.75,1606.375,586.75,728.25,5106.875,2665.625,42.99,48.27,11.11,104.58,6.51,3.11,0.8,133.9,48.6,53.96,4036.8,4036.8,3416.6
141,2017-09-11,74.71,732622.2,516.25,1632.625,591.75,762.75,5178.125,2760.875,41.82,47.63,10.85,106.46,6.54,3.12,0.8,132.61,49.08,54.87,3894.4,3894.4,3446
