일자,식사명,수량(아침식사2 값 중복),식사내용,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2)
2003.5.20,저녁식사,23.97111913,"감자조림,도토리묵말이,마늘쫑지무침,소면사리,쌀밥,쭈꾸미볶음,포기김치2",19.1,15.2,441,27.9,1315,0,27,1256,73.3,1100,3.09,18.52
2003.5.21,저녁식사,23.17689531,"근대국,돈육장조림,미나리전(초고추장),쌀밥,쑥갓양파겉절이,포기김치2,흑콩조림",17,14.8,217,19.2,1401,0,66,1234,78.6,1100,2.81,21.37
2003.5.22,저녁식사,23.68231047,"갈치그릴구이,김치볶음,깍두기(손칼),떡국,쌀밥,통두부,양념장,호박나물",18.2,15.8,344,24,1530,0,31,1548,74.9,1300,2.84,21.17
2003.5.23,저녁식사,19.71119134,"계란탕,메추리알햄조림,양상치샐러드,오무라이스,오이지무침,포기김치2",17.8,15.5,529,20.9,1738,0,64,732,72.1,1200,2.89,21.07
2003.5.24,저녁식사,12.99638989,"건취나물볶음,깍두기(손칼),깐마늘고추장무침,닭백숙,도토리묵무침,쌀밥(사무직)",19.3,16,526,23.4,1306,3.5,53,1006,71.3,1100,1.86,11.93
2003.5.25,저녁식사,15.7400722,"무말랑이무침,미역국,삼겹살구이2,상추쌈,쌀밥,어채볶음(굵은채),포기김치2",16,15.5,1520,16.9,0,72,89,0,92.8,900,0.35,2.75
2003.5.26,저녁식사,24.18772563,"맛살조림,무생채,쇠불고기,쌀밥,콩가루배추국(단배추)-사용불가,포기김치2,호박나물",15.6,14.3,2355,17.6,1737,21.5,74,1750,89.3,1700,0.87,5.12
2003.5.27,저녁식사,30.32490975,"기장밥,김구이,떡볶이,소방어무조림,잔파맛살무침,포기김치2,호박새우젓국",16.2,12.7,450,19.5,1211,0,66,1150,81.8,1100,2.94,16.99
2003.5.28,저녁식사,20.433213,"근대나물,꽁치소금구이,다시마채무침,쌀밥,육개장,콩나물잡채,포기김치2",17.3,15.8,211,20.3,1508,0,59,1515,77.5,1400,2.47,18.58
2003.5.29,저녁식사,20.2166065,"김치국,깍두기(손칼),닭불고기(180),쌀밥,야채고로케,참나물겉절이",20.4,14.8,415,25.7,1242,0.1,47,1231,72.5,1100,3.07,22.78
2003.5.30,저녁식사,13.93501805,"단무지잔파무침,돈육짜장볶음,북어계란국,비빔만두,숙주나물,쌀밥,포기김치2",17.1,16.7,1916,19.1,0,122,84,10,93.5,1300,0.39,2.77
2003.5.31,저녁식사,16.46209386,"깐풍기,돌나물겉절이,두부유부된장국,볶음밥,생선묵조림,천사채샐러드",17.3,16.1,320,21.3,1631,2,59,1637,84.6,1600,1.34,9.2
2003.6.1,저녁식사,22.23826715,"계란찜,단배추부추겉절이,동태매운탕(가공),소면사리,쌀밥,오징어야채볶음,포기김치2",17.5,14.4,608,22,1348,0,56,1326,76.9,1100,3.39,27.7
2003.6.2,저녁식사,21.66064982,"깍두기(손칼),꽁치깻잎조림,단배추나물,소세지삼색볶음,쌀밥,어묵무국,잔파생채(70)",18.2,14.7,412,23.4,1100,0,46,1054,74.5,1200,3.24,26.06
2003.6.3,저녁식사,20.07220217,"계란찜,깻잎양념절임,마늘쫑볶음,쇠고기떡볶음,쌀밥,콩나물국,포기김치2",19,12.4,535,26.2,1230,0,19,1239,51.8,1200,2.54,21.31
2003.6.4,저녁식사,20.07220217,"가자미양념장구이,감자수제비국,두부조림,숙주미나리나물,쌀밥,치커리무생채,포기김치2",20.7,15,504,27.8,1329,0,28,1341,56.4,1100,3.51,26.79
2003.6.5,저녁식사,15.01805054,"감자채볶음,근대국,다시마채무침,닭조림(토막),쌀밥,잔멸치볶음,포기김치2",21.4,18,603,26,1048,0,34,1007,60,1100,3.52,28.74
2003.6.6,저녁식사,20.86642599,"갈치그릴구이,깐마늘장아찌,시금치나물(90),어채볶음(굵은채),장터국밥,포기김치2",22.9,17.7,345,30.8,1342,0,29,1330,59.3,1100,3.26,22.35
2003.6.7,저녁식사,16.96750903,"맛살냉채,미역국,생선까스,쌀밥,연근조림,콩나물무침,포기김치2",22.8,17.6,256,27.8,1435,0,37,1339,59.9,1200,3.19,25.82
2003.6.8,저녁식사,18.91696751,"떡볶이,부추겉절이,쇠불고기,쌀밥,천사채샐러드,콩가루배추국(단배추)-사용불가,포기김치2",22.5,18.5,2351,28.2,1555,0,33,1602,68.1,1200,3.09,26.03
2003.6.9,저녁식사,21.58844765,"깍두기(손칼),닭곰탕,생선묵조림,오이,풋고추,쌈장,오징어젓무침,요구르트,흑미밥",19.7,17.2,233,22.1,1301,0,68,1146,77.6,1500,1.82,13.79
2003.6.10,저녁식사,24.69314079,"김치볶음,깍두기(손칼),돈육불고기,동태매운탕(가공),부추김무침,쌀밥,통두부,양념장",19.6,18.1,18,21.6,1450,0,70,1303,80.1,1400,1.78,12.53
2003.6.11,저녁식사,20.86642599,"고등어구이,들깨무채국,버섯볶음,쌀밥,쑥갓양파겉절이,진미고추장무침,포기김치2",19.4,18,505,22.2,1327,0.5,62,1330,80.3,1300,1.73,8.02
2003.6.12,저녁식사,25.41516245,"계란탕,단무지채무침,돈육짜장볶음,비빔만두,수박,숙주미나리나물,쌀밥,포기김치2",19.6,18,0,21.1,1344,34,85,2324,91.1,1300,0.39,3.28
2003.6.14,저녁식사,15.5234657,"마카로니샐러드,식혜,쌀밥,오무라이스,오이양파무침,팽이버섯국,포기김치2",23,20.6,519,27.6,1401,0,33,1348,59.5,1300,3.08,18.94
2003.6.15,저녁식사,20.72202166,"만두국,쇠고기야채볶음,쌀밥,어채볶음(굵은채),잔파생채(70),콩나물무침,포기김치2",21.2,18.3,541,23.6,1536,0,59,1635,76.1,1100,3.25,23.6
2003.6.16,저녁식사,24.18772563,"깐마늘고추장무침,메기탕,쌀밥,연근조림,오징어야채볶음,포기김치2",21.6,19.2,528,25.3,1511,0,58,1506,78.5,1100,2.12,13.49
2003.6.17,저녁식사,18.19494585,"고등어김치찌개,깍두기(손칼),쇠고기맑은국,쌀밥,야채튀김(쑥갓),어채볶음(굵은채),치커리무생채",23.6,18.7,414,27.9,1454,0,35,1513,66.9,1100,3.13,22.29
2003.6.18,저녁식사,23.53790614,"단배추된장국,두부조림,생선까스,쌀밥,쑥갓양파겉절이,포기김치2,햄야채볶음",23.2,20.1,535,26.5,1458,0,55,1056,68.4,1100,1.97,15.63
2003.6.19,저녁식사,19.63898917,"땅콩흑콩조림,부추겉절이,소방어소금구이,쌀밥,어묵무국,콩나물잡채,포기김치2",20.5,19.5,1422,21.9,0,150.5,76,1935,88.1,1800,0.41,3.36
2003.6.20,저녁식사,17.18411552,"깍두기(손칼),닭백숙,도토리묵상추무침,식혜,쌀밥(사무직),풋고추,쌈장,해물파전",24.7,19.5,359,29.7,1550,0,38,1619,62.9,1100,3.28,25.94
2003.6.21,저녁식사,14.80144404,"마늘쫑멸치볶음,삼겹살구이2,상추쌈,쌀밥,콩가루배추국(단배추)-사용불가,통마늘장아찌,포기김치2",25.6,22.1,529,29.9,1506,0,37,1506,63.8,1200,2.77,20.71
2003.6.22,저녁식사,17.97833935,"김치볶음밥,깍두기(손칼),북어무국,오이지무침,요구르트,햄야채볶음",22.4,20.2,2150,24.7,1159,0,67,1156,78.8,1200,2.93,20.76
2003.6.23,저녁식사,25.48736462,"삼치엿장조림,순두부국,쌀밥,알감자조림,포기김치2,햄멸치꽈리조림,호박나물",21,20.3,2,21.5,1743,23.5,81,555,88.3,1000,0.4,2.96
2003.6.24,저녁식사,20.57761733,"김구이,깍두기(손칼),두부양념장구이,쌀밥,오이,풋고추,쌈장,오징어젓무침,해장국(목뼈)",24.2,21,125,28.5,1625,0,40,1629,62.5,900,2.85,21.55
2003.6.25,저녁식사,20.28880866,"갈치그릴구이,건새우마늘쫑볶음,도라지생채,부추전,쌀밥,어묵쑥갓무국,포기김치2",21.7,19.5,2341,24.2,1016,0,51,1018,66.5,900,2.42,12.19
2003.6.26,저녁식사,16.10108303,"감자수제비국,김치볶음,깍두기(손칼),비름나물,소방어소금구이,쌀밥,통두부,양념장",20.7,18.9,521,24.9,920,0,57,1012,78.9,900,2.82,17.86
2003.6.27,저녁식사,14.58483755,"돈육불고기,상추쌈,쌀밥,요구르트,치커리무생채,탕수만두,포기김치2,호박새우젓국",19.2,18.2,1231,20.7,456,49.5,81,451,90.5,1300,0.31,3.21
2003.6.28,저녁식사,24.11552347,"더운야채,돈까스,스위트피클,쌀밥,야채샐러드,크림스프(경양식),포기김치",19.7,18.4,706,21,1511,1,75,1332,86.1,1100,1.02,8.09
2003.6.29,저녁식사,20.57761733,"떡볶이,만두국,쌀밥,야채튀김(쑥갓),오징어회무침,콩나물무침,포기김치2",24.2,19.3,527,29.2,1442,0,41,1446,68.8,1200,3.18,22.5
2003.6.30,저녁식사,17.83393502,"감자조림,느타리버섯볶음,단배추나물,닭개장,돈육강정,쌀밥,포기김치2",24.1,20.9,632,28.6,1220,0,43,1223,68.1,1200,2.8,18.25
2003.7.1,저녁식사,21.44404332,"돈등뼈감자탕,동태무조림(가공),알타리김치,오이,풋고추,쌈장,완두콩밥,탕평채,피크닉",20.8,19.4,428,23.5,1504,9.5,63,1427,84.3,1300,3.09,17.22
2003.7.2,저녁식사,19.63898917,"대체용음식2,메추리알햄조림,미트소스스파게티,삼치튀김,짬뽕밥(가공),칠면조냉채,파인애플(1조각),포기김치2",22,18.9,342,25.7,1427,0,55,1514,72.3,1000,3.47,25.49
2003.7.3,저녁식사,20.72202166,"깍두기(손칼),녹두빈대떡,대체용음식,도가니탕,쌀밥,열무된장무침,호박새우젓볶음",19.8,18.9,2321,21.1,3,76,76,16,88.9,1000,0.53,3.89
2003.7.4,저녁식사,18.62815884,"닭조림(토막),묵해장국,부추양념장,쇠고기브로컬리볶음,영양밥,오이양파무침,즉석김구이,포기김치2",19.9,18.9,418,21.1,1101,0.5,70,1150,79.6,900,0.86,5.56
2003.7.5,저녁식사,29.31407942,"대체용음식,비엔나케찹볶음,삼겹살구이2,상추쌈,쌀밥,추어탕,통마늘장아찌,포기김치2,호박동그랑전",19.9,18.1,315,22.1,1847,29,75,1511,88.5,1400,2.25,8.03
2003.7.6,저녁식사,15.66787004,"가자미찜,골뱅이야채무침,꽃게된장국,설탕뿌린도너츠,쌀밥,쑥갓나물,알타리김치,팽이버섯볶음",20.4,19.2,2046,22.1,936,82,81,917,91,800,0.79,5.04
2003.7.7,저녁식사,23.10469314,"근대나물,동태전,순대국밥,쌀밥,알타리김치,오리버섯불고기,쫄면야채무침",20.1,19.3,522,21.3,1200,4.5,80,1201,90.8,1100,1.08,6.68
2003.7.8,저녁식사,20.28880866,"닭파인애플조림(토막),레몬차,수정과,오징어회덮밥,콘후레이크과일샐러드,콩가루배추국(단배추)-사용불가,포기김치2",20.9,19.9,350,23,1645,0.1,78,1653,88.1,1600,0.91,7.76
